"Ruleset","Rule","Description","Priority"
"Design","UseVarargs","Java 5 introduced the varargs parameter declaration for methods and constructors. This syntactic sugar provides flexibility for users of these methods and constructors, allowing them to avoid having to deal with the creation of an array.","4"
"Design","FieldDeclarationsShouldBeAtStartOfClass","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","3"
"Design","GodClass","The God Class rule detects the God Class design flaw using metrics. God classes do too many things,are very big and overly complex. They should be split apart to be more object-oriented.The rule uses the detection strategy described in 'Object-Oriented Metrics in Practice'.The violations are reported against the entire class. See also the references:Michele Lanza and Radu Marinescu. Object-Oriented Metrics in Practice:Using Software Metrics to Characterize, Evaluate, and Improve the Designof Object-Oriented Systems. Springer, Berlin, 1 edition, October 2006. Page 80.","3"
"Design","AvoidProtectedMethodInFinalClassNotExtending","Do not use protected methods in most final classes since they cannot be subclassed. This should only be allowed in final classes that extend other classes with protected methods (whosevisibility cannot be reduced). Clarify your intent by using private or package access modifiers instead.","3"
"Code Size","NPathComplexity","The NPath complexity of a method is the number of acyclic execution paths through that method.A threshold of 200 is generally considered the point where measures should be taken to reduce complexity and increase readability.","3"
"Code Size","ExcessiveMethodLength","When methods are excessively long this usually indicates that the method is doing more than itsname/signature might suggest. They also become challenging for others to digest since excessive scrolling causes readers to lose focus.Try to reduce the method length by creating helper methods and removing any copy/pasted code.","3"
"Code Size","ExcessiveParameterList","Methods with numerous parameters are a challenge to maintain, especially if most of them share thesame datatype. These situations usually denote the need for new objects to wrap the numerous parameters.","3"
"Code Size","ExcessiveClassLength","Excessive class file lengths are usually indications that the class may be burdened with excessive responsibilities that could be provided by external classes or functions. In breaking these methodsapart the code becomes more managable and ripe for reuse.","3"
"Code Size","CyclomaticComplexity","Complexity directly affects maintenance costs is determined by the number of decision points in a method plus one for the method entry. The decision points include 'if', 'while', 'for', and 'case labels' calls. Generally, numbers ranging from 1-4 denote low complexity, 5-7 denote moderate complexity, 8-10 denotehigh complexity, and 11+ is very high complexity.","3"
"Code Size","StdCyclomaticComplexity","Complexity directly affects maintenance costs is determined by the number of decision points in a method plus one for the method entry. The decision points include 'if', 'while', 'for', and 'case labels' calls. Generally, numbers ranging from 1-4 denote low complexity, 5-7 denote moderate complexity, 8-10 denotehigh complexity, and 11+ is very high complexity.","3"
"Code Size","ModifiedCyclomaticComplexity","Complexity directly affects maintenance costs is determined by the number of decision points in a method plus one for the method entry. The decision points include 'if', 'while', 'for', and 'case labels' calls. Generally, numbers ranging from 1-4 denote low complexity, 5-7 denote moderate complexity, 8-10 denotehigh complexity, and 11+ is very high complexity. Modified complexity treats switch statements as a singledecision point.","3"
"Code Size","ExcessivePublicCount","Classes with large numbers of public methods and attributes require disproportionate testing effortssince combinational side effects grow rapidly and increase risk. Refactoring these classes intosmaller ones not only increases testability and reliability but also allows new variations to bedeveloped easily.","3"
"Code Size","TooManyFields","Classes that have too many fields can become unwieldy and could be redesigned to have fewer fields,possibly through grouping related fields in new objects. For example, a class with individual city/state/zip fields could park them within a single Address field.","3"
"Code Size","NcssMethodCount","This rule uses the NCSS (Non-Commenting Source Statements) algorithm to determine the number of linesof code for a given method. NCSS ignores comments, and counts actual statements. Using this algorithm,lines of code that are split are counted as one.","3"
"Code Size","NcssTypeCount","This rule uses the NCSS (Non-Commenting Source Statements) algorithm to determine the number of linesof code for a given type. NCSS ignores comments, and counts actual statements. Using this algorithm,lines of code that are split are counted as one.","3"
"Code Size","NcssConstructorCount","This rule uses the NCSS (Non-Commenting Source Statements) algorithm to determine the number of linesof code for a given constructor. NCSS ignores comments, and counts actual statements. Using this algorithm,lines of code that are split are counted as one.","3"
"Code Size","TooManyMethods","A class with too many methods is probably a good suspect for refactoring, in order to reduce its complexity and find a way tohave more fine grained objects.","3"
"Controversial","UnnecessaryConstructor","This rule detects when a constructor is not necessary; i.e., when there is only one constructor,its public, has an empty body, and takes no arguments.","3"
"Controversial","NullAssignment","Assigning a 'null' to a variable (outside of its declaration) is usually bad form. Sometimes, this typeof assignment is an indication that the programmer doesn't completely understand what is going on in the code. NOTE: This sort of assignment may used in some cases to dereference objects and encourage garbage collection.","3"
"Controversial","OnlyOneReturn","A method should have only one exit point, and that should be the last statement in the method.","3"
"Controversial","AssignmentInOperand","Avoid assignments in operands; this can make code more complicated and harder to read.","3"
"Controversial","AtLeastOneConstructor","Each class should declare at least one constructor.","3"
"Controversial","DontImportSun","Avoid importing anything from the 'sun.*' packages. These packages are not portable and are likely to change.","4"
"Controversial","SuspiciousOctalEscape","A suspicious octal escape sequence was found inside a String literal.The Java language specification (section 3.10.6) says an octalescape sequence inside a literal String shall consist of a backslashfollowed by: OctalDigit | OctalDigit OctalDigit | ZeroToThree OctalDigit OctalDigitAny octal escape sequence followed by non-octal digits can be confusing,e.g. '\038' is interpreted as the octal escape sequence '\03' followed bythe literal character '8'.","3"
"Controversial","CallSuperInConstructor","It is a good practice to call super() in a constructor. If super() is not called butanother constructor (such as an overloaded constructor) is called, this rule will not report it.","3"
"Controversial","UnnecessaryParentheses","Sometimes expressions are wrapped in unnecessary parentheses, making them look like function calls.","3"
"Controversial","DefaultPackage","Use explicit scoping instead of accidental usage of default package private level.The rule allows methods and fields annotated with Guava's @VisibleForTesting.","3"
"Controversial","DataflowAnomalyAnalysis","The dataflow analysis tracks local definitions, undefinitions and references to variables on different paths on the data flow.From those informations there can be found various problems.1. UR - Anomaly: There is a reference to a variable that was not defined before. This is a bug and leads to an error.2. DU - Anomaly: A recently defined variable is undefined. These anomalies may appear in normal source text.3. DD - Anomaly: A recently defined variable is redefined. This is ominous but don't have to be a bug.","5"
"Controversial","AvoidFinalLocalVariable","Avoid using final local variables, turn them into fields.","3"
"Controversial","AvoidUsingShortType","Java uses the 'short' type to reduce memory usage, not to optimize calculation. In fact, the JVM does not have anyarithmetic capabilities for the short type: the JVM must convert the short into an int, do the proper calculationand convert the int back to a short. Thus any storage gains found through use of the 'short' type may be offset byadverse impacts on performance.","1"
"Controversial","AvoidUsingVolatile","Use of the keyword 'volatile' is generally used to fine tune a Java application, and therefore, requiresa good expertise of the Java Memory Model. Moreover, its range of action is somewhat misknown. Therefore,the volatile keyword should not be used for maintenance purpose and portability.","2"
"Controversial","AvoidUsingNativeCode","Unnecessary reliance on Java Native Interface (JNI) calls directly reduces application portabilityand increases the maintenance burden.","2"
"Controversial","AvoidAccessibilityAlteration","Methods such as getDeclaredConstructors(), getDeclaredConstructor(Class[]) and setAccessible(),as the interface PrivilegedAction, allows for the runtime alteration of variable, class, ormethod visibility, even if they are private. This violates the principle of encapsulation.","3"
"Controversial","DoNotCallGarbageCollectionExplicitly","Calls to System.gc(), Runtime.getRuntime().gc(), and System.runFinalization() are not advised. Code should have thesame behavior whether the garbage collection is disabled using the option -Xdisableexplicitgc or not.Moreover, 'modern' jvms do a very good job handling garbage collections. If memory usage issues unrelated to memoryleaks develop within an application, it should be dealt with JVM options rather than within the code itself.","2"
"Controversial","OneDeclarationPerLine","Java allows the use of several variables declaration of the same type on one line. However, itcan lead to quite messy code. This rule looks for several declarations on the same line.","3"
"Controversial","AvoidPrefixingMethodParameters","Prefixing parameters by 'in' or 'out' pollutes the name of the parameters and reduces code readability.To indicate whether or not a parameter will be modify in a method, its better to document methodbehavior with Javadoc.","4"
"Controversial","AvoidLiteralsInIfCondition","Avoid using hard-coded literals in conditional statements. By declaring them as static variablesor private members with descriptive names maintainability is enhanced. By default, the literals '-1' and '0' are ignored.More exceptions can be defined with the property 'ignoreMagicNumbers'.","3"
"Controversial","UseObjectForClearerAPI","When you write a public method, you should be thinking in terms of an API. If your method is public, it means other classwill use it, therefore, you want (or need) to offer a comprehensive and evolutive API. If you pass a lot of informationas a simple series of Strings, you may think of using an Object to represent all those information. You'll get a simplierAPI (such as doWork(Workload workload), rather than a tedious series of Strings) and more importantly, if you need at somepoint to pass extra data, you'll be able to do so by simply modifying or extending Workload without any modification toyour API.","3"
"Controversial","UseConcurrentHashMap","Since Java5 brought a new implementation of the Map designed for multi-threaded access, you canperform efficient map reads without blocking other threads.","3"
"Braces","IfStmtsMustUseBraces","Avoid using if statements without using braces to surround the code block. If the code formatting or indentation is lost then it becomes difficult to separate the code beingcontrolled from the rest.","3"
"Braces","WhileLoopsMustUseBraces","Avoid using ‘while’ statements without using braces to surround the code block. If the code formatting or indentation is lost then it becomes difficult to separate the code beingcontrolled from the rest.","3"
"Braces","IfElseStmtsMustUseBraces","Avoid using if..else statements without using surrounding braces. If the code formatting or indentation is lost then it becomes difficult to separate the code being controlled from the rest.","3"
"Braces","ForLoopsMustUseBraces","Avoid using 'for' statements without using curly braces. If the code formatting or indentation is lost then it becomes difficult to separate the code being controlled from the rest.","3"
